"Occupancy","Time"
"0","0.0"
"1","0.0625"
"2","0.125"
"3","0.1875"
"4","0.25"
"5","0.3125"
"6","0.375"
"7","0.4375"
"8","0.5"
"9","0.5625"
"10","0.5"
"11","0.5625"
"12","0.625"
"13","0.6875"
"14","0.625"
"15","0.6875"
"16","0.625"
"17","0.6875"
"18","0.625"
"19","0.6875"
"20","0.75"
"21","0.8125"
"22","0.875"
"23","0.9375"
"24","1.0"
"25","0.9375"
"26","1.0"
"27","1.0625"
"28","1.125"
"29","1.1875"
"30","1.25"
"31","1.3125"
"32","1.375"
"33","1.4375"
"34","1.375"
"35","1.4375"
"36","1.5"
"37","1.5625"
"38","1.5"
"39","1.5625"
"40","1.625"
"41","1.625"
"42","1.6875"
"43","1.625"
"44","1.6875"
"45","1.75"
"46","1.8125"
"47","1.875"
"48","1.8125"
"49","1.875"
"50","1.8125"
"51","1.875"
"52","1.8125"
"53","1.875"
"54","1.9375"
"55","2.0"
"56","2.0"
"57","2.0625"
"58","2.0"
"59","2.0625"
"60","2.125"
"61","2.1875"
"62","2.25"
"63","2.25"
"64","2.3125"
"65","2.25"
"66","2.3125"
"67","2.3125"
"68","2.375"
"69","2.375"
"70","2.375"
"71","2.375"
"72","2.375"
"73","2.375"
"74","2.375"
"75","2.375"
"76","2.375"
"77","2.375"
"78","2.375"
"79","2.375"
"80","2.375"
"81","2.375"
"82","2.375"
"83","2.375"
"84","2.375"
"85","2.375"
"86","2.375"
"87","2.375"
"88","2.375"
"89","2.375"
"90","2.375"
"91","2.375"
"92","2.375"
"93","2.375"
"94","2.375"
"95","2.375"
"96","2.375"
"97","2.375"
"98","2.375"
"99","2.375"
"100","2.375"
"101","2.375"
"102","2.375"
"103","2.375"
"104","2.375"
"105","2.375"
"106","2.375"
"107","2.375"
"108","2.375"
"109","2.375"
"110","2.375"
"111","2.375"
"112","2.375"
"113","2.375"
"114","2.375"
"115","2.375"
"116","2.375"
"117","2.375"
"118","2.375"
"119","2.375"
"120","2.375"
"121","2.375"
"122","2.375"
"123","2.375"
"124","2.375"
"125","2.375"
"126","2.375"
"127","2.375"
"128","2.375"
"129","2.375"
"130","2.375"
"131","2.375"
"132","2.375"
"133","2.375"
"134","2.375"
"135","2.375"
"136","2.375"
"137","2.375"
"138","2.375"
"139","2.375"
"140","2.375"
